"dist_id","state_id","dist_cd","dist_name","dist_hq","dist_detail","dist_pop11","dist_area","dist_density","dist_web","dist_lang1","dist_lang2","dist_logi","dist_lati","dist_reach_img","dist_map","estd_dd","estd_mm","estd_yy","dist_seo_kword","dist_seo_mtag","dist_seo_data","dist_block","dist_sdist","dist_p_status","dist_status"
"1","1","AN","ANANTNAG","Anantnag","<p>
	00:00:00</p>
","1070144","2853","375","http://anantnag.gov.in/","16","23","12.78","32.87","6_1dist_r.jpg","6_1dist_m.jpg","10","04","2018","gggg","kkkkkkkk","mmmmmmmmmmmmmm","17","6","1","0"
"2","1","BD","BADGAM","Badgam","00:00:00","735753","1406","537","http://budgam.nic.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","17","6","1","0"
"3","1","BR","BARAMULLA","Baramulla","00:00:00","1015503","3329","305","http://baramulla.nic.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","26","8","1","0"
"4","1","DO","DODA","Doda","00:00:00","409576","11691","79","http://doda.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","17","4","1","0"
"5","1","JA","JAMMU","Jammu","00:00:00","1526406","3097","596","http://jammu.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","20","4","1","0"
"6","1","KR","KARGIL","Kargil","00:00:00","143388","14036","10","http://kargil.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","15","5","1","0"
"7","1","KT","KATHUA","Kathua","00:00:00","615711","2651","232","http://kathua.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","19","5","1","0"
"8","1","KU","KUPWARA","Kupwara","00:00:00","875564","2379","368","http://kupwara.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","24","3","1","0"
"9","1","LE","LEH LADAKH","Leh","00:00:00","147104","45110","3","http://leh.nic.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","16","3","1","0"
"10","1","PO","POONCH","Poonch","00:00:00","476820","1674","285","http://poonch.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","11","4","1","0"
"11","1","PU","PULWAMA","Pulwama","00:00:00","570060","1398","598","http://pulwama.gov.in/",,,,,,,,,,"00:00:00","00:00:00","00:00:00","12","4","1","0"
"12","1","RA","RAJAURI","Rajouri","00:00:00","619266","2630","235","http://rajouri.nic.in/",,,,,,,,,,"00:00:00","00:00:00","00:00:00","19","7","1","0"
"13","1","SR","SRINAGAR","Srinagar","00:00:00","1269751","2228","703","http://srinagar.nic.in/",,,,,,,,,,"00:00:00","00:00:00","00:00:00","8","2","1","0"
"14","1","UD","UDHAMPUR","Udhampur","00:00:00","555357","4550","211","http://udhampur.gov.in/",,,,,,,,,,"00:00:00","00:00:00","00:00:00","17","4","1","0"
"15","2","BI","BILASPUR","Bilaspur","00:00:00","382056","1167","327","http://hpbilaspur.gov.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","4","6","1","0"
"16","2","CH","CHAMBA","Chamba","00:00:00","518844","6528","80","http://hpchamba.nic.in/","0","0","0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","7","10","1","0"
"17","2","HA","HAMIRPUR","Hamirpur","00:00:00","454293","1118","406","http://hphamirpur.gov.in/",,,"0","0","ok","ok","0","0","0","00:00:00","00:00:00","00:00:00","6","7","1","0"
